Tanggal,ID_Transaksi,Produk,Kategori,Wilayah,Sales_Person,Metode_Pembayaran,Jumlah_Unit,Harga_Satuan,Penjualan_Kotor,Diskon_Pct,Penjualan_Neto,Biaya,Laba_Neto,Margin_Pct,Rating_Kepuasan,Status_Lunas,Repeat_Customer
2023-05-11,TRX-2023033,Tablet,Komputer,Sumatera Utara,Budi S.,Transfer Bank,1,4000000,3479000.0,0.0,3479000.0,2193000.0,1286000.0,36.96,7.0,Ya,1
2023-05-20,TRX-2023034,Smartphone,Ponsel,Jawa Barat,Budi S.,COD,1,5000000,5247000.0,0.0,5247000.0,3037000.0,2210000.0,42.12,,Ya,1
2023-06-07,TRX-2023035,Smartphone,Ponsel,Jawa Barat,Sari W.,COD,1,5000000,4326000.0,20.0,3461000.0,2684000.0,777000.0,22.45,8.0,Ya,1
2023-06-09,TRX-2023036,Smartwatch,Aksesori,Sumatera Utara,Andi P.,E-Wallet,1,2000000,1838000.0,0.0,1838000.0,1083000.0,755000.0,41.08,4.0,Ya,1
2023-06-10,TRX-2023037,Laptop,Komputer,Jawa Barat,Dewi R.,COD,2,12000000,21194000.0,5.0,20134000.0,13637000.0,6497000.0,32.27,3.0,Tidak,1
2023-06-10,TRX-2023038,Laptop,Komputer,Sumatera Utara,Andi P.,Transfer Bank,2,12000000,22068000.0,0.0,22068000.0,14454000.0,7614000.0,34.5,5.0,Ya,1
2023-06-15,TRX-2023039,Tablet,Komputer,Jawa Tengah,Farhan M.,COD,1,4000000,4541000.0,10.0,4087000.0,2910000.0,1177000.0,28.8,7.0,Tidak,1
2023-06-18,TRX-2023040,Tablet,Komputer,Jawa Timur,Rina L.,COD,1,4000000,4433000.0,,3546000.0,2693000.0,853000.0,24.06,3.0,Tidak,1
2023-06-19,TRX-2023041,Headphone,Aksesori,Jawa Barat,Dewi R.,COD,3,800000,2250000.0,0.0,2250000.0,1243000.0,1007000.0,44.76,7.0,Tidak,1
2023-06-26,TRX-2023042,Laptop,Komputer,Jawa Tengah,Farhan M.,COD,2,12000000,27266000.0,5.0,25903000.0,17463000.0,8440000.0,32.58,8.0,Ya,1
2023-07-01,TRX-2023043,Tablet,Komputer,Jawa Tengah,Andi P.,E-Wallet,3,4000000,10638000.0,5.0,10106000.0,6477000.0,3629000.0,35.91,9.0,Ya,1
2023-07-04,TRX-2023044,Tablet,Komputer,Jawa Barat,Rina L.,Kartu Kredit,1,4000000,3617000.0,0.0,3617000.0,2311000.0,1306000.0,36.11,9.0,Ya,1
2023-07-05,TRX-2023045,Smartphone,Ponsel,Sumatera Utara,Rina L.,E-Wallet,1,5000000,4932000.0,5.0,4685000.0,2980000.0,1705000.0,36.39,4.0,Ya,0
2023-07-07,TRX-2023046,Smartwatch,Aksesori,Sumatera Utara,Dewi R.,Kartu Kredit,1,2000000,1733000.0,0.0,1733000.0,964000.0,769000.0,44.37,2.0,Tidak,1
2023-07-09,TRX-2023047,Smartwatch,Aksesori,Jawa Barat,Budi S.,Cicilan,1,2000000,1947000.0,20.0,1558000.0,1181000.0,377000.0,24.2,,Ya,1
2023-07-12,TRX-2023048,Headphone,Aksesori,Jawa Barat,Andi P.,COD,1,800000,817000.0,0.0,817000.0,448000.0,369000.0,45.17,,Ya,1
2023-07-17,TRX-2023049,Tablet,Komputer,Jawa Barat,Rina L.,Kartu Kredit,1,4000000,4334000.0,10.0,3901000.0,2766000.0,1135000.0,29.1,5.0,Tidak,1
2023-07-18,TRX-2023050,Smartphone,Ponsel,Sumatera Utara,Budi S.,E-Wallet,2,5000000,10794000.0,10.0,9715000.0,6154000.0,3561000.0,36.65,10.0,Ya,1
2023-07-23,TRX-2023051,Smartphone,Ponsel,Jawa Barat,Dewi R.,Kartu Kredit,1,5000000,5749000.0,0.0,5749000.0,3300000.0,2449000.0,42.6,7.0,Ya,1
2023-08-04,TRX-2023052,Smartwatch,Aksesori,Jawa Tengah,Farhan M.,Cicilan,1,2000000,2017000.0,20.0,1614000.0,1146000.0,468000.0,29.0,5.0,Ya,1
2023-08-07,TRX-2023053,Tablet,Komputer,Sulawesi Selatan,Rina L.,Transfer Bank,3,4000000,13194000.0,20.0,10555000.0,7941000.0,2614000.0,24.77,8.0,Ya,1
2023-08-10,TRX-2023054,Smartwatch,Aksesori,Jawa Tengah,Rina L.,E-Wallet,3,2000000,6402000.0,5.0,6082000.0,3600000.0,2482000.0,40.81,6.0,Ya,0
2023-08-12,TRX-2023055,Laptop,Komputer,Sumatera Utara,Andi P.,E-Wallet,2,12000000,25936000.0,5.0,24639000.0,16605000.0,8034000.0,32.61,7.0,Ya,1
2023-08-18,TRX-2023056,Laptop,Komputer,Sumatera Utara,Sari W.,Transfer Bank,1,12000000,11256000.0,0.0,11256000.0,7291000.0,3965000.0,35.23,7.0,Tidak,1
2023-08-28,TRX-2023057,Smartwatch,Aksesori,Sulawesi Selatan,Rina L.,Cicilan,1,2000000,2040000.0,0.0,2040000.0,1151000.0,889000.0,43.58,5.0,Ya,0
2023-08-29,TRX-2023058,Headphone,Aksesori,Sumatera Utara,Rina L.,COD,2,800000,1748000.0,5.0,1661000.0,1008000.0,653000.0,39.31,2.0,Tidak,1
2023-08-31,TRX-2023059,Tablet,Komputer,Jawa Timur,Sari W.,Transfer Bank,1,4000000,4054000.0,15.0,3446000.0,2579000.0,867000.0,25.16,10.0,Ya,1
2023-09-02,TRX-2023060,Headphone,Aksesori,Sulawesi Selatan,Andi P.,Cicilan,2,800000,1770000.0,20.0,1416000.0,943000.0,473000.0,33.4,7.0,Ya,1
2023-09-12,TRX-2023061,Smartphone,Ponsel,Jawa Tengah,Budi S.,Kartu Kredit,2,5000000,10012000.0,0.0,10012000.0,5835000.0,4177000.0,41.72,7.0,Ya,1
2023-09-12,TRX-2023062,Headphone,Aksesori,Jawa Tengah,Sari W.,COD,1,800000,740000.0,0.0,740000.0,425000.0,315000.0,42.57,10.0,Ya,0
2023-09-13,TRX-2023063,Smartphone,Ponsel,Sulawesi Selatan,,Cicilan,1,5000000,4417000.0,5.0,4196000.0,2518000.0,1678000.0,39.99,5.0,Ya,0
2023-09-15,TRX-2023064,Laptop,Komputer,Jawa Timur,Budi S.,E-Wallet,1,12000000,11128000.0,15.0,9459000.0,7569000.0,1890000.0,19.98,,Ya,1
2023-09-26,TRX-2023065,Laptop,Komputer,Jawa Barat,Sari W.,E-Wallet,1,12000000,12425000.0,,12425000.0,7979000.0,4446000.0,35.78,5.0,Ya,1
2023-10-05,TRX-2023066,Smartwatch,Aksesori,Sulawesi Selatan,Dewi R.,COD,1,2000000,1976000.0,20.0,1581000.0,1166000.0,415000.0,26.25,8.0,Ya,0
2023-10-12,TRX-2023067,Tablet,Komputer,Sulawesi Selatan,Dewi R.,Kartu Kredit,1,4000000,4289000.0,10.0,3860000.0,2636000.0,1224000.0,31.71,5.0,Ya,1
2023-10-25,TRX-2023068,Tablet,Komputer,Sulawesi Selatan,Budi S.,Cicilan,2,4000000,7704000.0,15.0,6548000.0,4994000.0,1554000.0,23.73,1.0,Ya,0
2023-10-25,TRX-2023069,Smartphone,Ponsel,Jawa Timur,Dewi R.,Cicilan,1,5000000,5406000.0,15.0,4595000.0,3364000.0,1231000.0,26.79,7.0,Ya,0
2023-10-26,TRX-2023070,Laptop,Komputer,Jawa Tengah,Farhan M.,COD,1,12000000,11355000.0,0.0,11355000.0,7604000.0,3751000.0,33.03,10.0,Ya,1
2023-11-11,TRX-2023071,Laptop,Komputer,Jawa Tengah,Dewi R.,Kartu Kredit,1,12000000,13715000.0,10.0,12344000.0,9265000.0,3079000.0,24.94,7.0,Tidak,1
2023-11-12,TRX-2023072,Headphone,Aksesori,Jawa Barat,Sari W.,E-Wallet,1,800000,752000.0,20.0,602000.0,401000.0,201000.0,33.39,10.0,Ya,1
2023-11-17,TRX-2023073,Smartwatch,Aksesori,Sulawesi Selatan,Dewi R.,Transfer Bank,1,2000000,2218000.0,0.0,2218000.0,1296000.0,922000.0,41.57,1.0,Ya,1
2023-11-22,TRX-2023074,Smartphone,Ponsel,Sulawesi Selatan,Andi P.,Cicilan,1,5000000,4895000.0,20.0,3916000.0,2921000.0,995000.0,25.41,8.0,Ya,1
2023-12-01,TRX-2023075,Headphone,Aksesori,Jawa Timur,Dewi R.,Transfer Bank,1,800000,739000.0,10.0,665000.0,416000.0,249000.0,37.44,8.0,Ya,0
2023-12-14,TRX-2023076,Smartphone,Ponsel,Jawa Barat,Andi P.,Transfer Bank,1,5000000,5687000.0,20.0,4550000.0,3329000.0,1221000.0,26.84,9.0,Ya,1
2023-12-16,TRX-2023077,Smartwatch,Aksesori,Jawa Timur,Budi S.,Transfer Bank,1,2000000,1935000.0,5.0,1838000.0,1129000.0,709000.0,38.57,6.0,Tidak,1
2023-12-19,TRX-2023078,Tablet,Komputer,Sumatera Utara,Sari W.,Cicilan,1,4000000,4264000.0,,4264000.0,2610000.0,1654000.0,38.79,6.0,Tidak,1
2023-12-20,TRX-2023079,Smartphone,Ponsel,Sulawesi Selatan,Budi S.,Kartu Kredit,2,5000000,8998000.0,5.0,8548000.0,5302000.0,3246000.0,37.97,7.0,Ya,0
2023-12-21,TRX-2023080,Tablet,Komputer,Jawa Timur,Sari W.,E-Wallet,1,4000000,4557000.0,10.0,4101000.0,2688000.0,1413000.0,34.46,9.0,Ya,1
2023-12-22,TRX-2023081,Smartphone,Ponsel,Jawa Barat,Farhan M.,Transfer Bank,1,5000000,4458000.0,10.0,4012000.0,2639000.0,1373000.0,34.22,7.0,Ya,1
2023-12-28,TRX-2023082,Smartwatch,Aksesori,Sulawesi Selatan,Dewi R.,E-Wallet,2,2000000,4450000.0,15.0,3782000.0,2562000.0,1220000.0,32.26,8.0,Tidak,1
2023-12-30,TRX-2023083,Laptop,Komputer,Jawa Tengah,Budi S.,Transfer Bank,3,12000000,30759000.0,0.0,30759000.0,20308000.0,10451000.0,33.98,2.0,Ya,1
2024-01-12,TRX-2023084,Laptop,Komputer,Jawa Timur,Budi S.,COD,1,12000000,11341000.0,15.0,9640000.0,7731000.0,1909000.0,19.8,6.0,Tidak,1
2024-01-12,TRX-2023085,Tablet,Komputer,Jawa Timur,Farhan M.,Cicilan,1,4000000,3971000.0,10.0,3574000.0,2408000.0,1166000.0,32.62,3.0,Ya,1
2024-01-17,TRX-2023086,Smartwatch,Aksesori,Jawa Barat,Rina L.,COD,1,2000000,2130000.0,0.0,2130000.0,1278000.0,852000.0,40.0,6.0,Ya,1
2024-01-21,TRX-2023087,Tablet,Komputer,Sulawesi Selatan,Sari W.,Cicilan,1,4000000,4237000.0,0.0,4237000.0,2679000.0,1558000.0,36.77,8.0,Ya,1
2024-01-27,TRX-2023088,Smartwatch,Aksesori,Jawa Timur,Budi S.,Kartu Kredit,1,2000000,1866000.0,0.0,1866000.0,1094000.0,772000.0,41.37,9.0,Ya,0
2024-01-30,TRX-2023089,Smartphone,Ponsel,Sumatera Utara,Sari W.,COD,1,5000000,4362000.0,10.0,3926000.0,2506000.0,1420000.0,36.17,4.0,Ya,1
2024-02-07,TRX-2023090,Laptop,Komputer,Jawa Tengah,Sari W.,E-Wallet,1,12000000,10550000.0,0.0,10550000.0,6636000.0,3914000.0,37.1,,Ya,1
2024-02-22,TRX-2023091,Headphone,Aksesori,Sumatera Utara,Rina L.,Transfer Bank,3,800000,2040000.0,5.0,1938000.0,1100000.0,838000.0,43.24,9.0,Ya,1
2024-02-24,TRX-2023092,Smartphone,Ponsel,Jawa Timur,Andi P.,E-Wallet,1,5000000,5397000.0,20.0,4318000.0,3211000.0,1107000.0,25.64,7.0,Tidak,1
2024-02-27,TRX-2023093,Smartwatch,Aksesori,Jawa Timur,Budi S.,E-Wallet,1,2000000,1781000.0,5.0,1692000.0,997000.0,695000.0,41.08,9.0,Tidak,1
2024-02-28,TRX-2023094,Laptop,Komputer,Jawa Tengah,Sari W.,Cicilan,1,12000000,13132000.0,5.0,12475000.0,8825000.0,3650000.0,29.26,8.0,Ya,0
2024-02-29,TRX-2023095,Headphone,Aksesori,Sulawesi Selatan,Dewi R.,Cicilan,1,800000,746000.0,15.0,634000.0,404000.0,230000.0,36.28,3.0,Ya,1
2024-03-04,TRX-2023096,Tablet,Komputer,Sumatera Utara,Andi P.,E-Wallet,1,4000000,3611000.0,0.0,3611000.0,2185000.0,1426000.0,39.49,2.0,Tidak,1
2024-03-21,TRX-2023097,Headphone,Aksesori,Sulawesi Selatan,Sari W.,Transfer Bank,1,800000,791000.0,0.0,791000.0,433000.0,358000.0,45.26,10.0,Ya,1
2024-03-22,TRX-2023098,Laptop,Komputer,Sulawesi Selatan,Dewi R.,Cicilan,3,12000000,38568000.0,0.0,38568000.0,25954000.0,12614000.0,32.71,7.0,Ya,1
2024-03-23,TRX-2023099,Smartwatch,Aksesori,Jawa Tengah,Dewi R.,Transfer Bank,1,2000000,2208000.0,0.0,2208000.0,1239000.0,969000.0,43.89,5.0,Ya,1
2024-03-25,TRX-2023100,Smartwatch,Aksesori,Jawa Timur,Rina L.,E-Wallet,3,2000000,6039000.0,20.0,4831000.0,3625000.0,1206000.0,24.96,4.0,Ya,0
2024-03-26,TRX-2023101,Headphone,Aksesori,Jawa Tengah,Farhan M.,COD,1,800000,750000.0,5.0,712000.0,392000.0,320000.0,44.94,9.0,Ya,1
2024-04-02,TRX-2023102,Smartphone,Ponsel,Jawa Timur,Farhan M.,COD,1,5000000,4886000.0,15.0,4153000.0,2992000.0,1161000.0,27.96,1.0,Ya,1
2024-04-05,TRX-2023103,Smartwatch,Aksesori,Jawa Barat,,Cicilan,3,2000000,6819000.0,10.0,6137000.0,4146000.0,1991000.0,32.44,5.0,Ya,1
2024-04-20,TRX-2023104,Tablet,Komputer,Jawa Barat,Andi P.,E-Wallet,1,4000000,4362000.0,10.0,3926000.0,2612000.0,1314000.0,33.47,8.0,Ya,1
2024-04-28,TRX-2023105,Headphone,Aksesori,Sumatera Utara,Sari W.,Cicilan,2,800000,1544000.0,0.0,1544000.0,861000.0,683000.0,44.24,9.0,Ya,1
2024-05-03,TRX-2023106,Laptop,Komputer,Jawa Timur,Farhan M.,COD,1,12000000,12706000.0,15.0,10800000.0,7996000.0,2804000.0,25.96,1.0,Ya,0
2024-05-05,TRX-2023107,Headphone,Aksesori,Jawa Barat,Farhan M.,Cicilan,2,800000,1564000.0,0.0,1564000.0,888000.0,676000.0,43.22,9.0,Ya,1
2024-05-07,TRX-2023108,Headphone,Aksesori,Sulawesi Selatan,Andi P.,COD,1,800000,867000.0,20.0,694000.0,477000.0,217000.0,31.27,6.0,Ya,1
2024-05-11,TRX-2023109,Tablet,Komputer,Jawa Timur,Farhan M.,Cicilan,1,4000000,3743000.0,15.0,3182000.0,2395000.0,787000.0,24.73,9.0,Tidak,1
2024-05-18,TRX-2023110,Tablet,Komputer,Jawa Tengah,Dewi R.,Kartu Kredit,2,4000000,7796000.0,10.0,7016000.0,4674000.0,2342000.0,33.38,7.0,Ya,1
2024-05-20,TRX-2023111,Tablet,Komputer,Jawa Timur,Farhan M.,COD,3,4000000,12432000.0,20.0,9946000.0,7638000.0,2308000.0,23.21,10.0,Ya,1
2024-05-20,TRX-2023112,Smartwatch,Aksesori,Sulawesi Selatan,Farhan M.,Kartu Kredit,2,2000000,3586000.0,10.0,3227000.0,2057000.0,1170000.0,36.26,7.0,Ya,1
2024-06-07,TRX-2023113,Smartphone,Ponsel,Jawa Tengah,Farhan M.,Transfer Bank,2,5000000,10688000.0,15.0,9085000.0,6375000.0,2710000.0,29.83,4.0,Ya,1
2024-06-13,TRX-2023114,Laptop,Komputer,Jawa Timur,Andi P.,E-Wallet,3,12000000,37797000.0,10.0,34017000.0,23838000.0,10179000.0,29.92,8.0,Tidak,0
2024-06-15,TRX-2023115,Headphone,Aksesori,Sumatera Utara,Andi P.,Cicilan,1,800000,917000.0,5.0,871000.0,529000.0,342000.0,39.27,7.0,Ya,1
2024-06-18,TRX-2023116,Headphone,Aksesori,Jawa Tengah,Farhan M.,Kartu Kredit,2,800000,1706000.0,0.0,1706000.0,984000.0,722000.0,42.32,7.0,Ya,1
2024-06-19,TRX-2023117,Headphone,Aksesori,Sumatera Utara,Andi P.,Kartu Kredit,3,800000,2490000.0,5.0,2366000.0,1420000.0,946000.0,39.98,7.0,Ya,0
2024-06-21,TRX-2023118,Smartphone,Ponsel,Jawa Tengah,Dewi R.,E-Wallet,1,5000000,5131000.0,5.0,4874000.0,3219000.0,1655000.0,33.96,3.0,Ya,1
2024-06-27,TRX-2023119,Laptop,Komputer,Sumatera Utara,Budi S.,Kartu Kredit,1,12000000,12545000.0,5.0,11918000.0,8237000.0,3681000.0,30.89,5.0,Ya,1
2024-06-30,TRX-2023120,Smartphone,Ponsel,Jawa Timur,Rina L.,Transfer Bank,3,5000000,17064000.0,0.0,17064000.0,10530000.0,6534000.0,38.29,9.0,Ya,1
2024-07-18,TRX-2023121,Tablet,Komputer,Jawa Tengah,Rina L.,Cicilan,1,4000000,3532000.0,0.0,3532000.0,2150000.0,1382000.0,39.13,3.0,Ya,1
2024-08-10,TRX-2023122,Smartwatch,Aksesori,Jawa Timur,Rina L.,E-Wallet,1,2000000,2233000.0,,2233000.0,1246000.0,987000.0,44.2,2.0,Ya,1
2024-08-12,TRX-2023123,Smartwatch,Aksesori,Jawa Barat,Dewi R.,Cicilan,3,2000000,5679000.0,15.0,4827000.0,3255000.0,1572000.0,32.57,6.0,Ya,1
2024-08-13,TRX-2023124,Headphone,Aksesori,Sumatera Utara,Farhan M.,E-Wallet,1,800000,681000.0,5.0,647000.0,386000.0,261000.0,40.34,7.0,Tidak,0
2024-08-14,TRX-2023125,Headphone,Aksesori,Jawa Barat,Farhan M.,Transfer Bank,3,800000,2208000.0,5.0,2098000.0,1161000.0,937000.0,44.66,1.0,Ya,1
2024-08-14,TRX-2023126,Smartwatch,Aksesori,Jawa Timur,Budi S.,Transfer Bank,3,2000000,6045000.0,20.0,4836000.0,3472000.0,1364000.0,28.21,9.0,Ya,1
2024-09-09,TRX-2023127,Smartwatch,Aksesori,Jawa Barat,Dewi R.,E-Wallet,1,2000000,2032000.0,0.0,2032000.0,1178000.0,854000.0,42.03,10.0,Tidak,1
2024-09-12,TRX-2023128,Headphone,Aksesori,Sulawesi Selatan,Farhan M.,Cicilan,1,800000,811000.0,20.0,649000.0,441000.0,208000.0,32.05,,Ya,1
2024-09-13,TRX-2023129,Smartwatch,Aksesori,Sumatera Utara,Dewi R.,Transfer Bank,1,2000000,2054000.0,0.0,2054000.0,1178000.0,876000.0,42.65,6.0,Tidak,1
2024-09-18,TRX-2023130,Smartphone,Ponsel,Sumatera Utara,Andi P.,Cicilan,1,5000000,4298000.0,0.0,4298000.0,2673000.0,1625000.0,37.81,9.0,Tidak,1
2024-09-26,TRX-2023131,Laptop,Komputer,Jawa Tengah,Rina L.,COD,3,12000000,41391000.0,0.0,41391000.0,25935000.0,15456000.0,37.34,8.0,Ya,1
2024-10-03,TRX-2023132,Headphone,Aksesori,Jawa Tengah,Farhan M.,E-Wallet,3,800000,2346000.0,15.0,1994000.0,1290000.0,704000.0,35.31,8.0,Ya,1
2024-10-04,TRX-2023133,Smartwatch,Aksesori,Jawa Timur,Budi S.,Cicilan,2,2000000,3592000.0,5.0,3412000.0,2152000.0,1260000.0,36.93,3.0,Tidak,1
2024-10-05,TRX-2023134,Smartphone,Ponsel,Sulawesi Selatan,Andi P.,Transfer Bank,3,5000000,13752000.0,0.0,13752000.0,7964000.0,5788000.0,42.09,4.0,Ya,1
2024-10-12,TRX-2023135,Smartwatch,Aksesori,Sulawesi Selatan,Budi S.,Cicilan,1,2000000,2133000.0,0.0,2133000.0,1249000.0,884000.0,41.44,7.0,Ya,1
2024-10-14,TRX-2023136,Laptop,Komputer,Sulawesi Selatan,Sari W.,Cicilan,1,12000000,11400000.0,15.0,9690000.0,7499000.0,2191000.0,22.61,7.0,Tidak,0
2024-10-14,TRX-2023137,Tablet,Komputer,Sulawesi Selatan,Farhan M.,Kartu Kredit,3,4000000,12225000.0,5.0,11614000.0,7861000.0,3753000.0,32.31,3.0,Ya,1
2024-10-17,TRX-2023138,Laptop,Komputer,Sulawesi Selatan,,E-Wallet,2,12000000,27262000.0,,21810000.0,17459000.0,4351000.0,19.95,7.0,Ya,1
2024-10-19,TRX-2023139,Smartwatch,Aksesori,Jawa Timur,Budi S.,Cicilan,2,2000000,3958000.0,,3958000.0,2259000.0,1699000.0,42.93,8.0,Tidak,1
2024-10-20,TRX-2023140,Laptop,Komputer,Sulawesi Selatan,Rina L.,Kartu Kredit,1,12000000,12217000.0,15.0,10384000.0,7713000.0,2671000.0,25.72,4.0,Ya,1
2024-10-23,TRX-2023141,Smartwatch,Aksesori,Sumatera Utara,Farhan M.,Kartu Kredit,2,2000000,3772000.0,5.0,3583000.0,2272000.0,1311000.0,36.59,8.0,Ya,1
2024-10-25,TRX-2023142,Headphone,Aksesori,Jawa Timur,Sari W.,Cicilan,2,800000,1710000.0,0.0,1710000.0,898000.0,812000.0,47.49,8.0,Ya,1
2024-11-03,TRX-2023143,Headphone,Aksesori,Jawa Tengah,Farhan M.,E-Wallet,1,800000,853000.0,0.0,853000.0,491000.0,362000.0,42.44,6.0,Tidak,1
